winner,loser,white_pieces,black_pieces,moves
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, d7d5, f2f4, g8f6, e1d2, b8c6, e2e4, d5e4, h2h3, e7e5, b2b4, e4d3, d1g4, f6e4, d2d1, c8g4, f1e2, d3e2, d1e1, d8d1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"e2e3, e7e6, f1b5, c7c6, b5a6, b8a6, d1h5, g8f6, h5e2, e6e5, e2b5, c6b5, e1e2, d8c7, g2g4, c7c4, e2f3, c4g4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f3, e7e5, h2h4, d7d5, b2b3, g8h6, b1c3, h6f5, g1h3, f5g3, h3g5, g3h1, c3b5, h7h6, e2e4, h6g5, f1c4, d5c4, d1e2, a7a6, a2a3, a6b5, e1f1, h1g3, f1e1, d8d4, h4h5, d4g1, e2f1, g1f1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c4, e7e5, g1h3, g8f6, d2d4, e5d4, c1h6, g7h6, b1d2, b8a6, e2e4, d4e3, d1b3, e3d2, e1d2, f6e4, d2d3, e4c5, d3d2, c5b3, d2e2, d8e7, e2d3, a6c5, d3c2, e7e4, c2c3, e4d4, c3b4, d4d2, b4b5, d2a5"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f3, e7e5, b1a3, d7d5, e2e3, b8c6, a3b5, d5d4, e1e2, a7a6, b5c7, d8c7, c2c4, c8e6, g2g4, h7h5, d1e1, d4e3, c4c5, c6d4, e2d3, a8d8, f1g2, d4f3, d3c3, c7c5"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"h2h3, e7e5, b1c3, d7d5, d2d4, e5e4, d1d3, e4d3, c3b5, d3c2, e2e4, d5e4, b5c3, d8d4, f2f4, f8c5, c3d1, c2d1q"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b1a3, e7e5, f2f3, d7d5, g2g3, h7h5, f1g2, h5h4, d2d3, h4h3, g2f1, b8c6, f3f4, e5f4, b2b4, f8b4, e1f2, d8f6, d1d2, f4g3, f2e3, f6f2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c4, e7e5, e2e4, f8c5, b2b4, c5b4, f2f4, d7d6, d1a4, b8c6, g1f3, g8f6, c1a3, b4a3, f4e5, a3b2, f3d4, b2d4, b1a3, d6e5, a4a5, d4f2, e1f2, d8d4, f2e2, c8g4, e2e1, f6e4, a3b5, d4a1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g4, d7d5, b1c3, c8g4, d2d3, e7e6, b2b3, f8b4, c1f4, b4c3, f4d2, d8f6, h2h4, c3a1, d2b4, a1d4, g1f3, g4f3, e2f3, b8c6, e1e2, f6e5, e2d2, c6b4, d2c1, b4a2, c1d2, d4c3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, e7e5, h2h4, d7d5, h1h2, g8f6, g1h3, c8g4, h2h1, h7h6, e1d2, b8c6, h1h2, f8d6, h3f4, e5f4, b1c3, c6d4, h2h3, e8g8, a2a4, c7c6, f2f3, g4h3, c3b5, c6b5, g2g3, h3f1, d1f1, d8c7, c2c4, b5c4, g3g4, d6b4, d2d1, c4d3, f1g1, d3e2"
